,ph,time,date,x_pos,y_pos
10,6.983,18:14:24,2016-12-23,3,0
22,6.9879999999999995,00:14:24,2016-12-24,3,0
34,6.983,06:14:25,2016-12-24,3,0
46,6.989,12:14:15,2016-12-24,3,0
58,6.984,18:14:15,2016-12-24,3,0
70,6.979,00:14:15,2016-12-25,3,0
82,6.98,06:14:24,2016-12-25,3,0
94,6.981,12:14:24,2016-12-25,3,0
106,6.968999999999999,18:14:24,2016-12-25,3,0
118,6.966,00:14:24,2016-12-26,3,0
130,6.965,06:14:24,2016-12-26,3,0
142,6.955,12:14:24,2016-12-26,3,0
154,6.942,18:14:24,2016-12-26,3,0
166,6.957999999999999,00:14:24,2016-12-27,3,0
178,6.96,06:14:25,2016-12-27,3,0
190,6.949,12:14:25,2016-12-27,3,0
202,6.982,18:14:15,2016-12-27,3,0
214,6.879,00:14:25,2016-12-28,3,0
226,6.876,06:14:15,2016-12-28,3,0
238,7.082999999999999,12:14:15,2016-12-28,3,0
